"gain" "loss" "deck" "trial" "subjID"
50 0 4 91 146
50 0 4 92 146
50 0 4 93 146
50 0 4 94 146
50 0 4 95 146
50 0 4 96 146
50 0 4 97 146
50 0 4 98 146
50 0 4 99 146
50 -250 4 100 146
100 -250 1 1 147
100 0 2 2 147
50 0 3 3 147
50 0 4 4 147
100 0 2 5 147
100 -250 1 6 147
50 -50 3 7 147
50 0 4 8 147
100 0 2 9 147
100 0 2 10 147
100 0 2 11 147
100 0 2 12 147
100 -1250 2 13 147
100 0 2 14 147
50 -250 4 15 147
100 0 1 16 147
100 0 1 17 147
100 0 1 18 147
100 -250 1 19 147
50 0 3 20 147
100 0 2 21 147
100 0 2 22 147
100 0 1 23 147
100 0 1 24 147
100 -250 1 25 147
100 0 1 26 147
100 0 1 27 147
100 0 1 28 147
100 -250 1 29 147
100 0 1 30 147
100 -250 1 31 147
100 -250 1 32 147
100 -250 1 33 147
100 0 2 34 147
100 0 2 35 147
100 0 2 36 147
100 0 2 37 147
100 -1250 2 38 147
100 0 1 39 147
100 -250 1 40 147
100 0 1 41 147
100 0 2 42 147
50 -50 3 43 147
50 0 4 44 147
50 -50 3 45 147
50 0 3 46 147
50 0 3 47 147
50 0 3 48 147
50 -50 3 49 147
50 0 3 50 147
50 -50 3 51 147
50 -50 3 52 147
50 0 3 53 147
50 0 3 54 147
50 -50 3 55 147
50 0 3 56 147
50 -50 3 57 147
50 0 3 58 147
50 -50 3 59 147
50 0 3 60 147
50 -50 3 61 147
50 -50 3 62 147
50 -50 3 63 147
50 -50 3 64 147
50 0 3 65 147
50 0 3 66 147
50 0 3 67 147
50 -50 3 68 147
50 0 3 69 147
50 0 3 70 147
50 -50 3 71 147
50 0 3 72 147
50 0 3 73 147
50 -50 3 74 147
50 0 3 75 147
50 0 3 76 147
50 -50 3 77 147
50 -50 3 78 147
50 -50 3 79 147
50 0 3 80 147
50 0 3 81 147
50 -50 3 82 147
50 -50 3 83 147
50 0 3 84 147
50 0 3 85 147
50 -50 3 86 147
50 0 3 87 147
50 -50 3 88 147
50 -50 3 89 147
50 0 3 90 147
50 0 3 91 147
50 -50 3 92 147
50 0 3 93 147
50 0 3 94 147
50 -50 3 95 147
50 -50 3 96 147
50 0 3 97 147
50 -50 3 98 147
50 -50 3 99 147
50 -50 3 100 147
50 0 4 1 148
100 -250 1 2 148
100 -250 1 3 148
100 0 2 4 148
50 0 3 5 148
50 0 4 6 148
100 0 2 7 148
100 0 2 8 148
100 0 2 9 148
100 0 2 10 148
100 0 2 11 148
100 -1250 2 12 148
100 0 2 13 148
100 0 2 14 148
100 0 2 15 148
100 0 2 16 148
100 0 2 17 148
50 -250 4 18 148
100 0 2 19 148
100 0 2 20 148
100 -1250 2 21 148
100 0 2 22 148
100 0 2 23 148
100 0 2 24 148
100 0 2 25 148
